Product Url,Product Name,Brand,Product ID,Price,Rating,Number of Reviews,Parent Category,Sub Category,Sales Rank(in parent category),Sales Rank(in sub category),Release Date,Country of Origin,Purchased in Last Month
https://www.amazon.com/SIMARI-Winter-Gloves-Women-Medium/dp/B07WRB9N3J/ref=zg_bs_g_fashion_d_sccl_33/135-5538322-2157468?psc=1,"SIMARI Winter Gloves Women Men Ski Snow Gloves Liner Thermal Warm Touch Screen, Suit for Running, Cycling, Biking, Hiking, Driving, Walking, Typing, Freezer Work, Sports, Soccer, Shooting, Gaming 102",SIMARI,B07WRB9N3J,16.99,4.2,41618.0,"Clothing, Shoes & Jewelry",Men's Skiing & Snowboarding Gloves,33.0,1.0,2018-10-01,China,10000.0
https://www.amazon.com/Trendy-Queen-Fashion-Crewneck-Clothing/dp/B0BW93QZK5/ref=zg_bs_g_fashion_d_sccl_34/135-5538322-2157468?psc=1,Trendy Queen Womens Long Sleeve Shirts Basic Crop Tops Tight Slim Fit Cute Teen Girls Fall Winter Y2k Clothes,Trendy Queen,B0BW93QZK5,12.99,4.4,4095.0,"Clothing, Shoes & Jewelry",Women's T-Shirts,33.0,2.0,2023-02-20,China,6000.0
https://www.amazon.com/VOENXE-Seamless-Thongs-Underwear-Basics/dp/B081VSYKL5/ref=zg_bs_g_fashion_d_sccl_35/135-5538322-2157468?psc=1,"voenxe Seamless Women Underwear Thongs,No Show Ladies Thong,No Line Workout Breathable Comfortable Panties,Soft Undies,5-Pack",voenxe,B081VSYKL5,12.99,4.6,66556.0,"Clothing, Shoes & Jewelry",Women's G-Strings & Thongs,35.0,1.0,2019-06-07,China,7000.0
https://www.amazon.com/CONNOISSEURS-Premium-Fine-Jewelry-Cleaner/dp/B09QMPYRB7/ref=zg_bs_g_fashion_d_sccl_36/135-5538322-2157468?psc=1,"CONNOISSEURS Premium Edition Jewelry Cleaner, Value Size 9.6oz - Pick from Fine, Silver or Delicate Jewelry Cleaner",CONNOISSEURS,B09QMPYRB7,9.99,4.5,24625.0,"Clothing, Shoes & Jewelry",Jewelry Cleaning & Care Products,36.0,1.0,2022-01-24,Unknown,9759.294871794871
https://www.amazon.com/Wrangler-Authentics-Stretch-Cargo-Black/dp/B0888D24PM/ref=zg_bs_g_fashion_d_sccl_37/135-5538322-2157468?psc=1,Wrangler Authentics Men's Relaxed Fit Stretch Cargo Pant,Wrangler Authentics,B0888D24PM,29.99,4.5,22875.0,"Clothing, Shoes & Jewelry",Men's Casual Pants,37.0,1.0,2020-10-29,Bangladesh,500.0
https://www.amazon.com/KBVOT-Translucent-Thermal-Pantyhose-Leggings/dp/B0CDGXN6SH/ref=zg_bs_g_fashion_d_sccl_38/135-5538322-2157468?psc=1,Fleece Lined Tights Women Sheer Fake Translucent Winter Thermal Pantyhose Opaque Warm Thick High Waist Leggings(XS-2XL),KBVOT,B0CDGXN6SH,18.99,4.2,113.0,"Clothing, Shoes & Jewelry",Women's Tights,38.0,2.0,2023-08-02,Unknown,9759.294871794871
https://www.amazon.com/Gerber-8-Pack-Short-Sleeve-Onesies-Bodysuit/dp/B07GFPVS2M/ref=zg_bs_g_fashion_d_sccl_39/135-5538322-2157468?psc=1,Gerber Baby 8-Pack Short Sleeve Onesie Bodysuits,Gerber,B07GFPVS2M,15.88,4.8,58792.0,"Clothing, Shoes & Jewelry",Baby Girls' Bodysuits,39.0,1.0,2024-04-09,India,9000.0
https://www.amazon.com/Trendy-Queen-Oversized-Crewneck-DarkPink/dp/B0BPYCHYP9/ref=zg_bs_g_fashion_d_sccl_40/135-5538322-2157468?psc=1,Trendy Queen Womens Fashion Workout T Shirts Athletic Plus Size Tops Summer Trendy Clothes 2025 Short Sleeve Spring Tee,Trendy Queen,B0BPYCHYP9,8.99,4.2,2058.0,"Clothing, Shoes & Jewelry",Women's T-Shirts,40.0,3.0,2022-12-13,China,1000.0
https://www.amazon.com/Hanes-Double-12-pair-fashion-Bottom/dp/B00Y0NGBSS/ref=zg_bs_g_fashion_d_sccl_41/135-5538322-2157468?psc=1,"Hanes Men's Double Tough Crew Socks, 12-Pair Pack",Hanes,B00Y0NGBSS,11.83,4.6,55060.0,"Clothing, Shoes & Jewelry",Men's Calf Socks,41.0,1.0,2023-05-19,El Salvador,10000.0
https://www.amazon.com/CHARMKING-Compression-Athletic-Medical-Running/dp/B07543D21Q/ref=zg_bs_g_fashion_d_sccl_42/135-5538322-2157468?psc=1,CHARMKING Compression Socks for Women & Men Circulation (3 Pairs) 15-20 mmHg is Best Support for Athletic Running Cycling,CHARMKING,B07543D21Q,10.39,4.4,77373.0,"Clothing, Shoes & Jewelry",Women's Compression Knee-High Socks,42.0,1.0,2017-08-24,Unknown,10000.0
https://www.amazon.com/Ratchet-Genuine-Leather-Easier-Adjustable/dp/B08LHBSYNK/ref=zg_bs_g_fashion_d_sccl_43/135-5538322-2157468?psc=1,"CHAOREN Mens Belt Leather Ratchet Belt - Customizable Fit, Effortless Style (35mm)",CHAOREN,B08LHBSYNK,12.74,4.6,41957.0,"Clothing, Shoes & Jewelry",Men's Belts,43.0,1.0,2024-07-06,Unknown,3000.0
https://www.amazon.com/LEE-Womens-Motion-Regular-Trouser/dp/B07R89VQ9V/ref=zg_bs_g_fashion_d_sccl_44/135-5538322-2157468?psc=1,Lee Women's Ultra Lux Comfort with Flex Motion Trouser Pant,Lee,B07R89VQ9V,20.2,4.2,19216.0,"Clothing, Shoes & Jewelry",Women's Casual Pants & Capris,44.0,1.0,2024-09-25,Bangladesh,1000.0
